plot.id,species,site,plot,functional_type,functional_type_2,native_exotic,cover,sqrtcover,richness_100_sq_meters,distance_from_water,age_of_watering_source,mean_annual_precip,mean_annual_temp,elevation,cow_dung_pats_m2,horse_dung_pats_m2,sand_percentage,clay_percentage,silt_percentage,annual_forb_richness,bunchgrass_richness,succulent_richness,rhzomitous_grass_richness,perennial_forb_richness,shrub_richness,native_annual_forb_richness,native_bunchgrass_richness,native_succulent_richness,native_grass_richness,native_perennial_forb_richness,native_shrub_richness,exotic_forb_richness,exotic_grass_richness,sum_bunchgrass_cover,sum_grass_cover,sum_shrub_cover,sum_perennial_forb_cover,sum_annual_forb_cover,exotic_cover,native_cover,total_vegetation_cover,exotic_richness,total_grass_cover
52.a,Arabis cobrensis,52,a,f,pf,n,0.5,0.707106781,22,71,46,191.4799957,3.730000019,2040.65918,11,0,63.07,21.02666667,15.90333333,1,5,1,2,8,5,0,5,1,2,7,5,2,0,9.5,4,39.5,3.55,0.5,0.55,56.55,57.05,2,13.5
52.a,Descurainia pinnata,52,a,f,pf,n,0.5,0.707106781,22,71,46,191.4799957,3.730000019,2040.65918,11,0,63.07,21.02666667,15.90333333,1,5,1,2,8,5,0,5,1,2,7,5,2,0,9.5,4,39.5,3.55,0.5,0.55,56.55,57.05,2,13.5
52.a,Poa secunda,52,a,g,bg,n,3.5,1.870828693,22,71,46,191.4799957,3.730000019,2040.65918,11,0,63.07,21.02666667,15.90333333,1,5,1,2,8,5,0,5,1,2,7,5,2,0,9.5,4,39.5,3.55,0.5,0.55,56.55,57.05,2,13.5
52.a,Atriplex confertifolia,52,a,s,s,n,0.5,0.707106781,22,71,46,191.4799957,3.730000019,2040.65918,11,0,63.07,21.02666667,15.90333333,1,5,1,2,8,5,0,5,1,2,7,5,2,0,9.5,4,39.5,3.55,0.5,0.55,56.55,57.05,2,13.5
52.a,Pascopyrum smithii,52,a,g,g,n,0.5,0.707106781,22,71,46,191.4799957,3.730000019,2040.65918,11,0,63.07,21.02666667,15.90333333,1,5,1,2,8,5,0,5,1,2,7,5,2,0,9.5,4,39.5,3.55,0.5,0.55,56.55,57.05,2,13.5
52.a,Elymus lanceolatus,52,a,g,g,n,3.5,1.870828693,22,71,46,191.4799957,3.730000019,2040.65918,11,0,63.07,21.02666667,15.90333333,1,5,1,2,8,5,0,5,1,2,7,5,2,0,9.5,4,39.5,3.55,0.5,0.55,56.55,57.05,2,13.5
52.a,Hesperostipa comata,52,a,g,bg,n,0.5,0.707106781,22,71,46,191.4799957,3.730000019,2040.65918,11,0,63.07,21.02666667,15.90333333,1,5,1,2,8,5,0,5,1,2,7,5,2,0,9.5,4,39.5,3.55,0.5,0.55,56.55,57.05,2,13.5
52.a,Grayia spinosa,52,a,s,s,n,0.5,0.707106781,22,71,46,191.4799957,3.730000019,2040.65918,11,0,63.07,21.02666667,15.90333333,1,5,1,2,8,5,0,5,1,2,7,5,2,0,9.5,4,39.5,3.55,0.5,0.55,56.55,57.05,2,13.5
52.a,Linanthus pungens,52,a,f,pf,n,0.5,0.707106781,22,71,46,191.4799957,3.730000019,2040.65918,11,0,63.07,21.02666667,15.90333333,1,5,1,2,8,5,0,5,1,2,7,5,2,0,9.5,4,39.5,3.55,0.5,0.55,56.55,57.05,2,13.5
52.a,Krascheninnikovia lanata,52,a,s,s,n,0.5,0.707106781,22,71,46,191.4799957,3.730000019,2040.65918,11,0,63.07,21.02666667,15.90333333,1,5,1,2,8,5,0,5,1,2,7,5,2,0,9.5,4,39.5,3.55,0.5,0.55,56.55,57.05,2,13.5
52.a,Astragalus purshii,52,a,f,pf,n,0.5,0.707106781,22,71,46,191.4799957,3.730000019,2040.65918,11,0,63.07,21.02666667,15.90333333,1,5,1,2,8,5,0,5,1,2,7,5,2,0,9.5,4,39.5,3.55,0.5,0.55,56.55,57.05,2,13.5
52.a,Chrysothamnus viscidiflorus,52,a,s,s,n,0.5,0.707106781,22,71,46,191.4799957,3.730000019,2040.65918,11,0,63.07,21.02666667,15.90333333,1,5,1,2,8,5,0,5,1,2,7,5,2,0,9.5,4,39.5,3.55,0.5,0.55,56.55,57.05,2,13.5
52.b,Artemisia tridentata,52,b,s,s,n,15.5,3.937003937,19,185,46,191.4799957,3.730000019,2040.65918,6,2,61.33,25.78,12.895,1,3,1,1,7,6,0,3,1,1,7,6,1,0,5.5,1.5,19,2.15,0.5,0.5,28.65,28.65,1,7
52.b,Astragalus convolarius,52,b,f,pf,n,0.05,0.223606798,19,185,46,191.4799957,3.730000019,2040.65918,6,2,61.33,25.78,12.895,1,3,1,1,7,6,0,3,1,1,7,6,1,0,5.5,1.5,19,2.15,0.5,0.5,28.65,28.65,1,7
52.b,Tetradymia nuttalii,52,b,s,s,n,0.5,0.707106781,19,185,46,191.4799957,3.730000019,2040.65918,6,2,61.33,25.78,12.895,1,3,1,1,7,6,0,3,1,1,7,6,1,0,5.5,1.5,19,2.15,0.5,0.5,28.65,28.65,1,7
52.b,Achnatherum hymenoides,52,b,g,bg,n,0.5,0.707106781,19,185,46,191.4799957,3.730000019,2040.65918,6,2,61.33,25.78,12.895,1,3,1,1,7,6,0,3,1,1,7,6,1,0,5.5,1.5,19,2.15,0.5,0.5,28.65,28.65,1,7
52.b,Schoenocrambe linifolia,52,b,f,pf,n,0.05,0.223606798,19,185,46,191.4799957,3.730000019,2040.65918,6,2,61.33,25.78,12.895,1,3,1,1,7,6,0,3,1,1,7,6,1,0,5.5,1.5,19,2.15,0.5,0.5,28.65,28.65,1,7
52.b,Elymus lanceolatus,52,b,g,g,n,1.5,1.224744871,19,185,46,191.4799957,3.730000019,2040.65918,6,2,61.33,25.78,12.895,1,3,1,1,7,6,0,3,1,1,7,6,1,0,5.5,1.5,19,2.15,0.5,0.5,28.65,28.65,1,7
52.b,Phlox hoodii,52,b,f,pf,n,0.5,0.707106781,19,185,46,191.4799957,3.730000019,2040.65918,6,2,61.33,25.78,12.895,1,3,1,1,7,6,0,3,1,1,7,6,1,0,5.5,1.5,19,2.15,0.5,0.5,28.65,28.65,1,7
52.b,Cymopterus acaulis,52,b,f,pf,n,0.05,0.223606798,19,185,46,191.4799957,3.730000019,2040.65918,6,2,61.33,25.78,12.895,1,3,1,1,7,6,0,3,1,1,7,6,1,0,5.5,1.5,19,2.15,0.5,0.5,28.65,28.65,1,7
52.b,Atriplex confertifolia,52,b,s,s,n,0.5,0.707106781,19,185,46,191.4799957,3.730000019,2040.65918,6,2,61.33,25.78,12.895,1,3,1,1,7,6,0,3,1,1,7,6,1,0,5.5,1.5,19,2.15,0.5,0.5,28.65,28.65,1,7
52.b,Grayia spinosa,52,b,s,s,n,1.5,1.224744871,19,185,46,191.4799957,3.730000019,2040.65918,6,2,61.33,25.78,12.895,1,3,1,1,7,6,0,3,1,1,7,6,1,0,5.5,1.5,19,2.15,0.5,0.5,28.65,28.65,1,7
52.b,Krascheninnikovia lanata,52,b,s,s,n,0.5,0.707106781,19,185,46,191.4799957,3.730000019,2040.65918,6,2,61.33,25.78,12.895,1,3,1,1,7,6,0,3,1,1,7,6,1,0,5.5,1.5,19,2.15,0.5,0.5,28.65,28.65,1,7
52.b,Linanthus pungens,52,b,f,pf,n,0.5,0.707106781,19,185,46,191.4799957,3.730000019,2040.65918,6,2,61.33,25.78,12.895,1,3,1,1,7,6,0,3,1,1,7,6,1,0,5.5,1.5,19,2.15,0.5,0.5,28.65,28.65,1,7
52.b,Astragalus purshii,52,b,f,pf,n,0.5,0.707106781,19,185,46,191.4799957,3.730000019,2040.65918,6,2,61.33,25.78,12.895,1,3,1,1,7,6,0,3,1,1,7,6,1,0,5.5,1.5,19,2.15,0.5,0.5,28.65,28.65,1,7
52.b,Descurainia pinnata,52,b,f,pf,n,0.5,0.707106781,19,185,46,191.4799957,3.730000019,2040.65918,6,2,61.33,25.78,12.895,1,3,1,1,7,6,0,3,1,1,7,6,1,0,5.5,1.5,19,2.15,0.5,0.5,28.65,28.65,1,7
52.b,Opuntia polyacantha,52,b,c,c,n,0.5,0.707106781,19,185,46,191.4799957,3.730000019,2040.65918,6,2,61.33,25.78,12.895,1,3,1,1,7,6,0,3,1,1,7,6,1,0,5.5,1.5,19,2.15,0.5,0.5,28.65,28.65,1,7
52.b,Elymus elymoides,52,b,g,bg,n,3.5,1.870828693,19,185,46,191.4799957,3.730000019,2040.65918,6,2,61.33,25.78,12.895,1,3,1,1,7,6,0,3,1,1,7,6,1,0,5.5,1.5,19,2.15,0.5,0.5,28.65,28.65,1,7
52.b,Alyssum desertorum,52,b,f,af,e,0.5,0.707106781,19,185,46,191.4799957,3.730000019,2040.65918,6,2,61.33,25.78,12.895,1,3,1,1,7,6,0,3,1,1,7,6,1,0,5.5,1.5,19,2.15,0.5,0.5,28.65,28.65,1,7
52.b,Poa secunda,52,b,g,bg,n,1.5,1.224744871,19,185,46,191.4799957,3.730000019,2040.65918,6,2,61.33,25.78,12.895,1,3,1,1,7,6,0,3,1,1,7,6,1,0,5.5,1.5,19,2.15,0.5,0.5,28.65,28.65,1,7
52.b,Chrysothamnus viscidiflorus,52,b,s,s,n,0.5,0.707106781,19,185,46,191.4799957,3.730000019,2040.65918,6,2,61.33,25.78,12.895,1,3,1,1,7,6,0,3,1,1,7,6,1,0,5.5,1.5,19,2.15,0.5,0.5,28.65,28.65,1,7
52.c,Descurainia pinnata,52,c,f,pf,n,0.5,0.707106781,15,448,46,191.4799957,3.730000019,2040.65918,7,0,61.28333333,16.28666667,22.42666667,1,3,0,1,4,6,0,3,0,1,4,6,1,0,2.5,3.5,41,1.1,0.5,0.5,48.1,48.6,1,6
52.c,Grayia spinosa,52,c,s,s,n,0.5,0.707106781,15,448,46,191.4799957,3.730000019,2040.65918,7,0,61.28333333,16.28666667,22.42666667,1,3,0,1,4,6,0,3,0,1,4,6,1,0,2.5,3.5,41,1.1,0.5,0.5,48.1,48.6,1,6
52.c,Achnatherum hymenoides,52,c,g,bg,n,1.5,1.224744871,15,448,46,191.4799957,3.730000019,2040.65918,7,0,61.28333333,16.28666667,22.42666667,1,3,0,1,4,6,0,3,0,1,4,6,1,0,2.5,3.5,41,1.1,0.5,0.5,48.1,48.6,1,6
52.c,Alyssum desertorum,52,c,f,af,e,0.5,0.707106781,15,448,46,191.4799957,3.730000019,2040.65918,7,0,61.28333333,16.28666667,22.42666667,1,3,0,1,4,6,0,3,0,1,4,6,1,0,2.5,3.5,41,1.1,0.5,0.5,48.1,48.6,1,6
52.c,Krascheninnikovia lanata,52,c,s,s,n,0.5,0.707106781,15,448,46,191.4799957,3.730000019,2040.65918,7,0,61.28333333,16.28666667,22.42666667,1,3,0,1,4,6,0,3,0,1,4,6,1,0,2.5,3.5,41,1.1,0.5,0.5,48.1,48.6,1,6
52.c,Atriplex confertifolia,52,c,s,s,n,0.5,0.707106781,15,448,46,191.4799957,3.730000019,2040.65918,7,0,61.28333333,16.28666667,22.42666667,1,3,0,1,4,6,0,3,0,1,4,6,1,0,2.5,3.5,41,1.1,0.5,0.5,48.1,48.6,1,6
52.c,Elymus elymoides,52,c,g,bg,n,0.5,0.707106781,15,448,46,191.4799957,3.730000019,2040.65918,7,0,61.28333333,16.28666667,22.42666667,1,3,0,1,4,6,0,3,0,1,4,6,1,0,2.5,3.5,41,1.1,0.5,0.5,48.1,48.6,1,6
52.c,Elymus lanceolatus,52,c,g,g,n,3.5,1.870828693,15,448,46,191.4799957,3.730000019,2040.65918,7,0,61.28333333,16.28666667,22.42666667,1,3,0,1,4,6,0,3,0,1,4,6,1,0,2.5,3.5,41,1.1,0.5,0.5,48.1,48.6,1,6
52.c,Chrysothamnus viscidiflorus,52,c,s,s,n,1.5,1.224744871,15,448,46,191.4799957,3.730000019,2040.65918,7,0,61.28333333,16.28666667,22.42666667,1,3,0,1,4,6,0,3,0,1,4,6,1,0,2.5,3.5,41,1.1,0.5,0.5,48.1,48.6,1,6
52.c,Schoenocrambe linifolia,52,c,f,pf,n,0.05,0.223606798,15,448,46,191.4799957,3.730000019,2040.65918,7,0,61.28333333,16.28666667,22.42666667,1,3,0,1,4,6,0,3,0,1,4,6,1,0,2.5,3.5,41,1.1,0.5,0.5,48.1,48.6,1,6
52.c,Phlox hoodii,52,c,f,pf,n,0.5,0.707106781,15,448,46,191.4799957,3.730000019,2040.65918,7,0,61.28333333,16.28666667,22.42666667,1,3,0,1,4,6,0,3,0,1,4,6,1,0,2.5,3.5,41,1.1,0.5,0.5,48.1,48.6,1,6
52.c,Artemisia tridentata,52,c,s,s,n,37.5,6.123724357,15,448,46,191.4799957,3.730000019,2040.65918,7,0,61.28333333,16.28666667,22.42666667,1,3,0,1,4,6,0,3,0,1,4,6,1,0,2.5,3.5,41,1.1,0.5,0.5,48.1,48.6,1,6
52.c,Hesperostipa comata,52,c,g,bg,n,0.5,0.707106781,15,448,46,191.4799957,3.730000019,2040.65918,7,0,61.28333333,16.28666667,22.42666667,1,3,0,1,4,6,0,3,0,1,4,6,1,0,2.5,3.5,41,1.1,0.5,0.5,48.1,48.6,1,6
52.c,Astragalus purshii,52,c,f,pf,n,0.05,0.223606798,15,448,46,191.4799957,3.730000019,2040.65918,7,0,61.28333333,16.28666667,22.42666667,1,3,0,1,4,6,0,3,0,1,4,6,1,0,2.5,3.5,41,1.1,0.5,0.5,48.1,48.6,1,6
52.c,Tetradymia nuttalii,52,c,s,s,n,0.5,0.707106781,15,448,46,191.4799957,3.730000019,2040.65918,7,0,61.28333333,16.28666667,22.42666667,1,3,0,1,4,6,0,3,0,1,4,6,1,0,2.5,3.5,41,1.1,0.5,0.5,48.1,48.6,1,6
52.d,Machaeranthera canescens,52,d,f,pf,n,0.05,0.223606798,15,532,46,191.4799957,3.730000019,2040.65918,2,1,70.04333333,17.86333333,12.09666667,0,4,1,1,5,4,0,4,1,1,5,4,0,0,2,3.5,40,1.6,0,0,47.6,47.1,0,5.5
52.d,Elymus lanceolatus,52,d,g,g,n,3.5,1.870828693,15,532,46,191.4799957,3.730000019,2040.65918,2,1,70.04333333,17.86333333,12.09666667,0,4,1,1,5,4,0,4,1,1,5,4,0,0,2,3.5,40,1.6,0,0,47.6,47.1,0,5.5
52.d,Achnatherum hymenoides,52,d,g,bg,n,0.5,0.707106781,15,532,46,191.4799957,3.730000019,2040.65918,2,1,70.04333333,17.86333333,12.09666667,0,4,1,1,5,4,0,4,1,1,5,4,0,0,2,3.5,40,1.6,0,0,47.6,47.1,0,5.5
52.d,Arabis cobrensis,52,d,f,pf,n,0.05,0.223606798,15,532,46,191.4799957,3.730000019,2040.65918,2,1,70.04333333,17.86333333,12.09666667,0,4,1,1,5,4,0,4,1,1,5,4,0,0,2,3.5,40,1.6,0,0,47.6,47.1,0,5.5
52.d,Krascheninnikovia lanata,52,d,s,s,n,0.5,0.707106781,15,532,46,191.4799957,3.730000019,2040.65918,2,1,70.04333333,17.86333333,12.09666667,0,4,1,1,5,4,0,4,1,1,5,4,0,0,2,3.5,40,1.6,0,0,47.6,47.1,0,5.5
52.d,Elymus elymoides,52,d,g,bg,n,0.5,0.707106781,15,532,46,191.4799957,3.730000019,2040.65918,2,1,70.04333333,17.86333333,12.09666667,0,4,1,1,5,4,0,4,1,1,5,4,0,0,2,3.5,40,1.6,0,0,47.6,47.1,0,5.5
52.d,Chrysothamnus viscidiflorus,52,d,s,s,n,1.5,1.224744871,15,532,46,191.4799957,3.730000019,2040.65918,2,1,70.04333333,17.86333333,12.09666667,0,4,1,1,5,4,0,4,1,1,5,4,0,0,2,3.5,40,1.6,0,0,47.6,47.1,0,5.5
52.d,Schoenocrambe linifolia,52,d,f,pf,n,0.5,0.707106781,15,532,46,191.4799957,3.730000019,2040.65918,2,1,70.04333333,17.86333333,12.09666667,0,4,1,1,5,4,0,4,1,1,5,4,0,0,2,3.5,40,1.6,0,0,47.6,47.1,0,5.5
52.d,Grayia spinosa,52,d,s,s,n,0.5,0.707106781,15,532,46,191.4799957,3.730000019,2040.65918,2,1,70.04333333,17.86333333,12.09666667,0,4,1,1,5,4,0,4,1,1,5,4,0,0,2,3.5,40,1.6,0,0,47.6,47.1,0,5.5
52.d,Phlox hoodii,52,d,f,pf,n,0.5,0.707106781,15,532,46,191.4799957,3.730000019,2040.65918,2,1,70.04333333,17.86333333,12.09666667,0,4,1,1,5,4,0,4,1,1,5,4,0,0,2,3.5,40,1.6,0,0,47.6,47.1,0,5.5
52.d,Opuntia polyacantha,52,d,c,c,n,0.5,0.707106781,15,532,46,191.4799957,3.730000019,2040.65918,2,1,70.04333333,17.86333333,12.09666667,0,4,1,1,5,4,0,4,1,1,5,4,0,0,2,3.5,40,1.6,0,0,47.6,47.1,0,5.5
52.d,Artemisia tridentata,52,d,s,s,n,37.5,6.123724357,15,532,46,191.4799957,3.730000019,2040.65918,2,1,70.04333333,17.86333333,12.09666667,0,4,1,1,5,4,0,4,1,1,5,4,0,0,2,3.5,40,1.6,0,0,47.6,47.1,0,5.5
52.d,Hesperostipa comata,52,d,g,bg,n,0.5,0.707106781,15,532,46,191.4799957,3.730000019,2040.65918,2,1,70.04333333,17.86333333,12.09666667,0,4,1,1,5,4,0,4,1,1,5,4,0,0,2,3.5,40,1.6,0,0,47.6,47.1,0,5.5
52.d,Poa secunda,52,d,g,bg,n,0.5,0.707106781,15,532,46,191.4799957,3.730000019,2040.65918,2,1,70.04333333,17.86333333,12.09666667,0,4,1,1,5,4,0,4,1,1,5,4,0,0,2,3.5,40,1.6,0,0,47.6,47.1,0,5.5
52.d,Descurainia pinnata,52,d,f,pf,n,0.5,0.707106781,15,532,46,191.4799957,3.730000019,2040.65918,2,1,70.04333333,17.86333333,12.09666667,0,4,1,1,5,4,0,4,1,1,5,4,0,0,2,3.5,40,1.6,0,0,47.6,47.1,0,5.5
53.a,Gymnosteris parvula,53,a,f,pf,n,0.5,0.707106781,27,76,0,265.3500061,2.210000038,2192.531982,17,0,72.65666667,13.05333333,14.28666667,5,3,0,1,15,3,4,3,0,1,15,3,1,0,4.5,0.5,38.5,7.5,2.05,0.5,52.55,53.05,1,5
53.a,Descurainia pinnata,53,a,f,pf,n,0.5,0.707106781,27,76,0,265.3500061,2.210000038,2192.531982,17,0,72.65666667,13.05333333,14.28666667,5,3,0,1,15,3,4,3,0,1,15,3,1,0,4.5,0.5,38.5,7.5,2.05,0.5,52.55,53.05,1,5
53.a,Antennaria dimorpha,53,a,f,pf,n,0.5,0.707106781,27,76,0,265.3500061,2.210000038,2192.531982,17,0,72.65666667,13.05333333,14.28666667,5,3,0,1,15,3,4,3,0,1,15,3,1,0,4.5,0.5,38.5,7.5,2.05,0.5,52.55,53.05,1,5
53.a,Eriogonum ovalifolium,53,a,f,pf,n,0.5,0.707106781,27,76,0,265.3500061,2.210000038,2192.531982,17,0,72.65666667,13.05333333,14.28666667,5,3,0,1,15,3,4,3,0,1,15,3,1,0,4.5,0.5,38.5,7.5,2.05,0.5,52.55,53.05,1,5
53.a,Alyssum desertorum,53,a,f,af,e,0.5,0.707106781,27,76,0,265.3500061,2.210000038,2192.531982,17,0,72.65666667,13.05333333,14.28666667,5,3,0,1,15,3,4,3,0,1,15,3,1,0,4.5,0.5,38.5,7.5,2.05,0.5,52.55,53.05,1,5
53.a,Erigeron spp,53,a,f,pf,n,0.5,0.707106781,27,76,0,265.3500061,2.210000038,2192.531982,17,0,72.65666667,13.05333333,14.28666667,5,3,0,1,15,3,4,3,0,1,15,3,1,0,4.5,0.5,38.5,7.5,2.05,0.5,52.55,53.05,1,5
53.a,Trifolium gymnocarpon,53,a,f,pf,n,0.5,0.707106781,27,76,0,265.3500061,2.210000038,2192.531982,17,0,72.65666667,13.05333333,14.28666667,5,3,0,1,15,3,4,3,0,1,15,3,1,0,4.5,0.5,38.5,7.5,2.05,0.5,52.55,53.05,1,5
53.a,Stenotus acaulis,53,a,f,pf,n,0.5,0.707106781,27,76,0,265.3500061,2.210000038,2192.531982,17,0,72.65666667,13.05333333,14.28666667,5,3,0,1,15,3,4,3,0,1,15,3,1,0,4.5,0.5,38.5,7.5,2.05,0.5,52.55,53.05,1,5
53.a,Cymopterus terebinthinus,53,a,f,pf,n,0.5,0.707106781,27,76,0,265.3500061,2.210000038,2192.531982,17,0,72.65666667,13.05333333,14.28666667,5,3,0,1,15,3,4,3,0,1,15,3,1,0,4.5,0.5,38.5,7.5,2.05,0.5,52.55,53.05,1,5
53.a,Lappula occidentalis,53,a,f,pf,n,0.5,0.707106781,27,76,0,265.3500061,2.210000038,2192.531982,17,0,72.65666667,13.05333333,14.28666667,5,3,0,1,15,3,4,3,0,1,15,3,1,0,4.5,0.5,38.5,7.5,2.05,0.5,52.55,53.05,1,5
53.a,Elymus lanceolatus,53,a,g,g,n,0.5,0.707106781,27,76,0,265.3500061,2.210000038,2192.531982,17,0,72.65666667,13.05333333,14.28666667,5,3,0,1,15,3,4,3,0,1,15,3,1,0,4.5,0.5,38.5,7.5,2.05,0.5,52.55,53.05,1,5
53.a,Phlox hoodii,53,a,f,pf,n,0.5,0.707106781,27,76,0,265.3500061,2.210000038,2192.531982,17,0,72.65666667,13.05333333,14.28666667,5,3,0,1,15,3,4,3,0,1,15,3,1,0,4.5,0.5,38.5,7.5,2.05,0.5,52.55,53.05,1,5
53.a,Polygonum 1,53,a,f,af,n,0.05,0.223606798,27,76,0,265.3500061,2.210000038,2192.531982,17,0,72.65666667,13.05333333,14.28666667,5,3,0,1,15,3,4,3,0,1,15,3,1,0,4.5,0.5,38.5,7.5,2.05,0.5,52.55,53.05,1,5
53.a,Cryptantha torreyana,53,a,f,af,n,0.5,0.707106781,27,76,0,265.3500061,2.210000038,2192.531982,17,0,72.65666667,13.05333333,14.28666667,5,3,0,1,15,3,4,3,0,1,15,3,1,0,4.5,0.5,38.5,7.5,2.05,0.5,52.55,53.05,1,5
53.a,Erigeron radicatus,53,a,f,pf,n,0.5,0.707106781,27,76,0,265.3500061,2.210000038,2192.531982,17,0,72.65666667,13.05333333,14.28666667,5,3,0,1,15,3,4,3,0,1,15,3,1,0,4.5,0.5,38.5,7.5,2.05,0.5,52.55,53.05,1,5
53.a,Linanthus pungens,53,a,f,pf,n,0.5,0.707106781,27,76,0,265.3500061,2.210000038,2192.531982,17,0,72.65666667,13.05333333,14.28666667,5,3,0,1,15,3,4,3,0,1,15,3,1,0,4.5,0.5,38.5,7.5,2.05,0.5,52.55,53.05,1,5
53.a,Poa secunda,53,a,g,bg,n,3.5,1.870828693,27,76,0,265.3500061,2.210000038,2192.531982,17,0,72.65666667,13.05333333,14.28666667,5,3,0,1,15,3,4,3,0,1,15,3,1,0,4.5,0.5,38.5,7.5,2.05,0.5,52.55,53.05,1,5
53.a,Poa spp,53,a,g,bg,n,0.5,0.707106781,27,76,0,265.3500061,2.210000038,2192.531982,17,0,72.65666667,13.05333333,14.28666667,5,3,0,1,15,3,4,3,0,1,15,3,1,0,4.5,0.5,38.5,7.5,2.05,0.5,52.55,53.05,1,5
53.a,Ericameria nauseosa,53,a,s,s,n,0.5,0.707106781,27,76,0,265.3500061,2.210000038,2192.531982,17,0,72.65666667,13.05333333,14.28666667,5,3,0,1,15,3,4,3,0,1,15,3,1,0,4.5,0.5,38.5,7.5,2.05,0.5,52.55,53.05,1,5
53.a,Arabis holboellii,53,a,f,pf,n,0.5,0.707106781,27,76,0,265.3500061,2.210000038,2192.531982,17,0,72.65666667,13.05333333,14.28666667,5,3,0,1,15,3,4,3,0,1,15,3,1,0,4.5,0.5,38.5,7.5,2.05,0.5,52.55,53.05,1,5
53.a,Antennaria corymbosa,53,a,f,pf,n,0.5,0.707106781,27,76,0,265.3500061,2.210000038,2192.531982,17,0,72.65666667,13.05333333,14.28666667,5,3,0,1,15,3,4,3,0,1,15,3,1,0,4.5,0.5,38.5,7.5,2.05,0.5,52.55,53.05,1,5
53.a,Gayophytum racemosum,53,a,f,af,n,0.5,0.707106781,27,76,0,265.3500061,2.210000038,2192.531982,17,0,72.65666667,13.05333333,14.28666667,5,3,0,1,15,3,4,3,0,1,15,3,1,0,4.5,0.5,38.5,7.5,2.05,0.5,52.55,53.05,1,5
